place,state,population
Onslow County,North_Carolina,192685
Orange County,North_Carolina,141812
Pamlico County,North_Carolina,12803
Pasquotank County,North_Carolina,39546
Pender County,North_Carolina,57630
Perquimans County,North_Carolina,13506
Person County,North_Carolina,39240
Pitt County,North_Carolina,176484
Polk County,North_Carolina,20434
Randolph County,North_Carolina,142827
Richmond County,North_Carolina,45447
Robeson County,North_Carolina,134187
Rockingham County,North_Carolina,91566
Rowan County,North_Carolina,138940
Rutherford County,North_Carolina,66523
Sampson County,North_Carolina,63664
Scotland County,North_Carolina,35445
Stanly County,North_Carolina,60875
Stokes County,North_Carolina,46124
Surry County,North_Carolina,72315
Swain County,North_Carolina,14208
Transylvania County,North_Carolina,33291
Tyrrell County,North_Carolina,4090
Union County,North_Carolina,222095
Vance County,North_Carolina,44420
Wake County,North_Carolina,1023811
Warren County,North_Carolina,20190
Washington County,North_Carolina,12331
Watauga County,North_Carolina,53421
Wayne County,North_Carolina,124496
Wilkes County,North_Carolina,68525
Wilson County,North_Carolina,81379
Yadkin County,North_Carolina,37825
Yancey County,North_Carolina,17605
Atlantic County,New_Jersey,265429
Bergen County,New_Jersey,936692
Burlington County,New_Jersey,445384
Camden County,New_Jersey,507078
Cape May County,New_Jersey,92560
Cumberland County,New_Jersey,150972
Essex County,New_Jersey,799767
Gloucester County,New_Jersey,291408
Hudson County,New_Jersey,676061
Hunterdon County,New_Jersey,124714
Mercer County,New_Jersey,369811
Middlesex County,New_Jersey,829685
Monmouth County,New_Jersey,621354
Morris County,New_Jersey,494228
Ocean County,New_Jersey,601651
Passaic County,New_Jersey,503310
Salem County,New_Jersey,62607
Somerset County,New_Jersey,331164
Sussex County,New_Jersey,140799
Union County,New_Jersey,558067
Warren County,New_Jersey,105779
Adams County,Colorado,441603
Alamosa County,Colorado,15445
Arapahoe County,Colorado,572003
Archuleta County,Colorado,12084
Baca County,Colorado,3788
Bent County,Colorado,6499
Boulder County,Colorado,294567
City and County of Broomfield,Colorado,55889
Chaffee County,Colorado,17809
Cheyenne County,Colorado,1836
Clear Creek County,Colorado,9088
Conejos County,Colorado,8256
Costilla County,Colorado,3524
Crowley County,Colorado,5823
Custer County,Colorado,4255
Delta County,Colorado,30952
City and County of Denver,Colorado,600158
Dolores County,Colorado,2064
Douglas County,Colorado,285465
Eagle County,Colorado,52197
El Paso County,Colorado,622263
Elbert County,Colorado,23086
Fremont County,Colorado,46824
Garfield County,Colorado,56389
Gilpin County,Colorado,5441
Grand County,Colorado,14843
Gunnison County,Colorado,15324
Hinsdale County,Colorado,843
Huerfano County,Colorado,6711
Jackson County,Colorado,1394
Jefferson County,Colorado,534543
Kiowa County,Colorado,1398
Kit Carson County,Colorado,8270
La Plata County,Colorado,51334
Lake County,Colorado,7310
Larimer County,Colorado,299630
Las Animas County,Colorado,15507
Lincoln County,Colorado,5467
Logan County,Colorado,22709
Mesa County,Colorado,146723
Mineral County,Colorado,712
Moffat County,Colorado,13795
Montezuma County,Colorado,25535
Montrose County,Colorado,41276
Morgan County,Colorado,28159
Otero County,Colorado,18831
Ouray County,Colorado,4436
Park County,Colorado,16206
Phillips County,Colorado,4442
Pitkin County,Colorado,17148
Prowers County,Colorado,12551
Pueblo County,Colorado,159063
Rio Blanco County,Colorado,6666
Rio Grande County,Colorado,11982
Routt County,Colorado,23509
Saguache County,Colorado,6108
San Juan County,Colorado,699
San Miguel County,Colorado,7359
Sedgwick County,Colorado,2379
Summit County,Colorado,27994
Teller County,Colorado,23350
Washington County,Colorado,4814
Weld County,Colorado,252825
Yuma County,Colorado,10043
Allegany County,Maryland,74012
Anne Arundel County,Maryland,550488
Baltimore County,Maryland,817455
Baltimore City,Maryland,621342
Calvert County,Maryland,89628
Caroline County,Maryland,32718
Carroll County,Maryland,167217
Cecil County,Maryland,101696
Charles County,Maryland,150592
Dorchester County,Maryland,32551
Frederick County,Maryland,239582
Garrett County,Maryland,29854
Harford County,Maryland,248622
Howard County,Maryland,299430
Kent County,Maryland,20191
Montgomery County,Maryland,1004709
Prince George's County,Maryland,881138
Queen Anne's County,Maryland,48595
Somerset County,Maryland,26253
St. Mary's County,Maryland,108987
Talbot County,Maryland,38098
Washington County,Maryland,149180
Wicomico County,Maryland,100647
Worcester County,Maryland,51578
Carson City,Nevada,55274
Churchill County,Nevada,24877
Clark County,Nevada,2204079
Douglas County,Nevada,46997
Elko County,Nevada,48818
Esmeralda County,Nevada,783
Eureka County,Nevada,1987
Humboldt County,Nevada,16528
Lander County,Nevada,5775
Lincoln County,Nevada,5345
Lyon County,Nevada,51980
Mineral County,Nevada,4772
Nye County,Nevada,43946
Pershing County,Nevada,6753
Storey County,Nevada,4010
Washoe County,Nevada,460587
White Pine County,Nevada,10030
Anderson County,Tennessee,75129
Bedford County,Tennessee,45058
Benton County,Tennessee,16489
Bledsoe County,Tennessee,12876
Blount County,Tennessee,123010
Bradley County,Tennessee,98963
Campbell County,Tennessee,40716
Cannon County,Tennessee,13801
Carroll County,Tennessee,28522
Carter County,Tennessee,57424
Cheatham County,Tennessee,39105
Chester County,Tennessee,17131
Claiborne County,Tennessee,32213
Clay County,Tennessee,7861
Cocke County,Tennessee,35662
Coffee County,Tennessee,52796
Crockett County,Tennessee,14586
Cumberland County,Tennessee,56053
Davidson County,Tennessee,626681
Decatur County,Tennessee,11757
DeKalb County,Tennessee,18723
Dickson County,Tennessee,49666
Dyer County,Tennessee,38335
Fayette County,Tennessee,38412
Fentress County,Tennessee,17959
Franklin County,Tennessee,41052
Gibson County,Tennessee,49683
Giles County,Tennessee,29485
Grainger County,Tennessee,22657
Greene County,Tennessee,68831
Grundy County,Tennessee,13703
Hamblen County,Tennessee,62544
Hamilton County,Tennessee,336463
Hancock County,Tennessee,6819
Hardeman County,Tennessee,27253
Hardin County,Tennessee,26026
Hawkins County,Tennessee,56833
Haywood County,Tennessee,18787
Henderson County,Tennessee,27769
Henry County,Tennessee,32330
Hickman County,Tennessee,24690
Houston County,Tennessee,8426
Humphreys County,Tennessee,18538
Jackson County,Tennessee,11638
Jefferson County,Tennessee,51407
Johnson County,Tennessee,18244
Knox County,Tennessee,432226
Lake County,Tennessee,7832
Lauderdale County,Tennessee,27815
Lawrence County,Tennessee,41869
Lewis County,Tennessee,12161
Lincoln County,Tennessee,33361
Loudon County,Tennessee,48556
Macon County,Tennessee,22248
Madison County,Tennessee,98294
Marion County,Tennessee,28237
Marshall County,Tennessee,30617
Maury County,Tennessee,80956
McMinn County,Tennessee,52266
McNairy County,Tennessee,26075
Meigs County,Tennessee,11753
Monroe County,Tennessee,44519
Montgomery County,Tennessee,172331
Moore County,Tennessee,6362
Morgan County,Tennessee,21987
Obion County,Tennessee,31807
Overton County,Tennessee,22083
Perry County,Tennessee,7915
Pickett County,Tennessee,5077
Polk County,Tennessee,16825
Putnam County,Tennessee,72321
Rhea County,Tennessee,31809
Roane County,Tennessee,54181
Robertson County,Tennessee,66283
Rutherford County,Tennessee,262604
Scott County,Tennessee,22228
Sequatchie County,Tennessee,14112
Sevier County,Tennessee,89889
Shelby County,Tennessee,927644
Smith County,Tennessee,19166
Stewart County,Tennessee,13324
Sullivan County,Tennessee,156823
Sumner County,Tennessee,160645
Tipton County,Tennessee,61081
Trousdale County,Tennessee,7870
Unicoi County,Tennessee,18313
Union County,Tennessee,19109
Van Buren County,Tennessee,5548
Warren County,Tennessee,39839
Washington County,Tennessee,122979
Wayne County,Tennessee,17021
Weakley County,Tennessee,35021
White County,Tennessee,25841
Williamson County,Tennessee,202686
Wilson County,Tennessee,113993
Hawaii County,Hawaii,185079
Honolulu County,Hawaii,953207
Kalawao County,Hawaii,88
Kauai County,Hawaii,67091
Maui County,Hawaii,154834
Adams County,Indiana,34387
Allen County,Indiana,355329
Bartholomew County,Indiana,76794
Benton County,Indiana,8854
Blackford County,Indiana,12766
Boone County,Indiana,56640
Brown County,Indiana,15242
Carroll County,Indiana,20165
Cass County,Indiana,38966
Clark County,Indiana,110232
Clay County,Indiana,26890
Clinton County,Indiana,33224
Crawford County,Indiana,10713
Daviess County,Indiana,31648
Dearborn County,Indiana,50047
Decatur County,Indiana,25740
DeKalb County,Indiana,40285
Delaware County,Indiana,117671
Dubois County,Indiana,41889
Elkhart County,Indiana,197559
Fayette County,Indiana,24277
Floyd County,Indiana,74578
Fountain County,Indiana,17240
Franklin County,Indiana,23087
Fulton County,Indiana,20836
Gibson County,Indiana,33503
Grant County,Indiana,70061
Greene County,Indiana,33165
Hamilton County,Indiana,274569
Hancock County,Indiana,70002
Harrison County,Indiana,39364
Hendricks County,Indiana,145488
Henry County,Indiana,49462
Howard County,Indiana,82752
Huntington County,Indiana,37124
Jackson County,Indiana,42367
Jasper County,Indiana,33478
Jay County,Indiana,21253
Jefferson County,Indiana,32428
Jennings County,Indiana,28525
Johnson County,Indiana,139654
Knox County,Indiana,38440
Kosciusko County,Indiana,77358
LaGrange County,Indiana,37128
Lake County,Indiana,496005
LaPorte County,Indiana,111467
Lawrence County,Indiana,46134
Madison County,Indiana,131636
Marion County,Indiana,903393
Marshall County,Indiana,47051
Martin County,Indiana,10334
Miami County,Indiana,36903
Monroe County,Indiana,137974
Montgomery County,Indiana,38124
Morgan County,Indiana,68894
Newton County,Indiana,14244
Noble County,Indiana,47536
Ohio County,Indiana,6128
Orange County,Indiana,19840
Owen County,Indiana,21575
Parke County,Indiana,17339
Perry County,Indiana,19338
Pike County,Indiana,12845
Porter County,Indiana,164343
Posey County,Indiana,25910
Pulaski County,Indiana,13402
Putnam County,Indiana,36019
Randolph County,Indiana,26171
Ripley County,Indiana,28818
Rush County,Indiana,17392
St. Joseph County,Indiana,266931
Scott County,Indiana,24181
Shelby County,Indiana,44436
Spencer County,Indiana,20952
Starke County,Indiana,23363
Steuben County,Indiana,34185
Sullivan County,Indiana,21745
Switzerland County,Indiana,10613
Tippecanoe County,Indiana,172780
Tipton County,Indiana,15936
Union County,Indiana,7516
Vanderburgh County,Indiana,179703
Vermillion County,Indiana,16212
Vigo County,Indiana,107818
Wabash County,Indiana,32888
Warren County,Indiana,8508
Warrick County,Indiana,59689
Washington County,Indiana,28262
Wayne County,Indiana,68917
Wells County,Indiana,27636
White County,Indiana,24643
Whitley County,Indiana,33292
Adair County,Kentucky,19204
Allen County,Kentucky,20384
Anderson County,Kentucky,21888
Ballard County,Kentucky,8240
Barren County,Kentucky,43148
Bath County,Kentucky,12206
Bell County,Kentucky,27778
Boone County,Kentucky,126413
Bourbon County,Kentucky,19972
Boyd County,Kentucky,48832
Boyle County,Kentucky,29706
Bracken County,Kentucky,8406
Breathitt County,Kentucky,13409
Breckinridge County,Kentucky,19888
Bullitt County,Kentucky,77955
Butler County,Kentucky,12875
Caldwell County,Kentucky,12725
Calloway County,Kentucky,38282
Campbell County,Kentucky,91833
Carlisle County,Kentucky,4978
Carroll County,Kentucky,10815
Carter County,Kentucky,27223
Casey County,Kentucky,15891
Christian County,Kentucky,74250
Clark County,Kentucky,35758
Clay County,Kentucky,21147
Clinton County,Kentucky,10165
Crittenden County,Kentucky,9224
Cumberland County,Kentucky,6745
Daviess County,Kentucky,98275
Edmonson County,Kentucky,12013
Elliott County,Kentucky,7672
Estill County,Kentucky,14447
Fayette County,Kentucky,310797
Fleming County,Kentucky,14545
Floyd County,Kentucky,38108
Franklin County,Kentucky,49880
Fulton County,Kentucky,6265
Gallatin County,Kentucky,8589
Garrard County,Kentucky,16858
Grant County,Kentucky,24875
Graves County,Kentucky,37618
Grayson County,Kentucky,26194
Green County,Kentucky,11043
Greenup County,Kentucky,36308
Hancock County,Kentucky,8753
Hardin County,Kentucky,108266
Harlan County,Kentucky,28163
Harrison County,Kentucky,18592
Hart County,Kentucky,18597
Henderson County,Kentucky,46467
Henry County,Kentucky,15572
Hickman County,Kentucky,4734
Hopkins County,Kentucky,46376
Jackson County,Kentucky,13289
Jefferson County,Kentucky,760026
Jessamine County,Kentucky,50815
Johnson County,Kentucky,23262
Kenton County,Kentucky,163929
Knott County,Kentucky,15892
Knox County,Kentucky,31798
LaRue County,Kentucky,14180
Laurel County,Kentucky,60015
Lawrence County,Kentucky,15804
Lee County,Kentucky,7594
Leslie County,Kentucky,10918
Letcher County,Kentucky,23359
Lewis County,Kentucky,13880
Lincoln County,Kentucky,24445
Livingston County,Kentucky,9359
Logan County,Kentucky,26867
Lyon County,Kentucky,8430
McCracken County,Kentucky,65316
McCreary County,Kentucky,17863
McLean County,Kentucky,9478
Madison County,Kentucky,87340
Magoffin County,Kentucky,12913
Marion County,Kentucky,20007
Marshall County,Kentucky,30953
Martin County,Kentucky,12537
Mason County,Kentucky,17166
Meade County,Kentucky,29139
Menifee County,Kentucky,6287
Mercer County,Kentucky,21319
Metcalfe County,Kentucky,9990
Monroe County,Kentucky,10704
Montgomery County,Kentucky,27474
Morgan County,Kentucky,13303
Muhlenberg County,Kentucky,31207
Nelson County,Kentucky,44812
Nicholas County,Kentucky,7041
Ohio County,Kentucky,23977
Oldham County,Kentucky,63490
Owen County,Kentucky,10645
Owsley County,Kentucky,4508
Pendleton County,Kentucky,14493
Perry County,Kentucky,27597
Pike County,Kentucky,63034
Powell County,Kentucky,12434
Pulaski County,Kentucky,63825
Robertson County,Kentucky,2197
Rockcastle County,Kentucky,16826
Rowan County,Kentucky,23655
Russell County,Kentucky,17774
Scott County,Kentucky,51284
Shelby County,Kentucky,44875
Simpson County,Kentucky,17826
Spencer County,Kentucky,17668
Taylor County,Kentucky,25257
Todd County,Kentucky,12520
Trigg County,Kentucky,14142
Trimble County,Kentucky,8786
Union County,Kentucky,15165
Warren County,Kentucky,120460
Washington County,Kentucky,11959
Wayne County,Kentucky,20486
Webster County,Kentucky,13236
Whitley County,Kentucky,35503
Wolfe County,Kentucky,7214
Woodford County,Kentucky,25563
Adair County,Oklahoma,22683
Alfalfa County,Oklahoma,5642
Atoka County,Oklahoma,14182
Beaver County,Oklahoma,5636
Beckham County,Oklahoma,22119
Blaine County,Oklahoma,11943
Bryan County,Oklahoma,42416
Caddo County,Oklahoma,29600
Canadian County,Oklahoma,115541
Carter County,Oklahoma,47557
Cherokee County,Oklahoma,46987
Choctaw County,Oklahoma,15205
Cimarron County,Oklahoma,2475
Cleveland County,Oklahoma,255755
Coal County,Oklahoma,5925
Comanche County,Oklahoma,124098
Cotton County,Oklahoma,6193
Craig County,Oklahoma,15029
Creek County,Oklahoma,69967
Custer County,Oklahoma,27469
Delaware County,Oklahoma,41487
Dewey County,Oklahoma,4810
Ellis County,Oklahoma,4151
Garfield County,Oklahoma,60580
Garvin County,Oklahoma,27576
Grady County,Oklahoma,52431
Grant County,Oklahoma,4527
Greer County,Oklahoma,6239
Harmon County,Oklahoma,2922
Harper County,Oklahoma,3685
Haskell County,Oklahoma,12769
Hughes County,Oklahoma,14003
Jackson County,Oklahoma,26446
Jefferson County,Oklahoma,6472
Johnston County,Oklahoma,10957
Kay County,Oklahoma,46562
Kingfisher County,Oklahoma,15034
Kiowa County,Oklahoma,9446
Latimer County,Oklahoma,11154
Le Flore County,Oklahoma,50384
Lincoln County,Oklahoma,34273
Logan County,Oklahoma,41848
Love County,Oklahoma,9423
Major County,Oklahoma,7527
Marshall County,Oklahoma,15840
Mayes County,Oklahoma,41259
McClain County,Oklahoma,34506
McCurtain County,Oklahoma,33151
McIntosh County,Oklahoma,20252
Murray County,Oklahoma,13488
Muskogee County,Oklahoma,70990
Noble County,Oklahoma,11561
Nowata County,Oklahoma,10536
Okfuskee County,Oklahoma,12191
Oklahoma County,Oklahoma,718633
Okmulgee County,Oklahoma,40069
Osage County,Oklahoma,47472
Ottawa County,Oklahoma,31848
Pawnee County,Oklahoma,16577
Payne County,Oklahoma,77350
Pittsburg County,Oklahoma,45837
Pontotoc County,Oklahoma,37492
Pottawatomie County,Oklahoma,69442
Pushmataha County,Oklahoma,11572
Roger Mills County,Oklahoma,3647
Rogers County,Oklahoma,86905
Seminole County,Oklahoma,25482
Sequoyah County,Oklahoma,42391
Stephens County,Oklahoma,45048
Texas County,Oklahoma,20640
Tillman County,Oklahoma,7992
Tulsa County,Oklahoma,603403
Wagoner County,Oklahoma,73085
Washington County,Oklahoma,50976
Washita County,Oklahoma,11629
Woods County,Oklahoma,8878
Woodward County,Oklahoma,20081
Abbeville County,South_Carolina,24872
Aiken County,South_Carolina,167458
Allendale County,South_Carolina,9045
Anderson County,South_Carolina,196569
Bamberg County,South_Carolina,14434
Barnwell County,South_Carolina,21483
Beaufort County,South_Carolina,183149
Berkeley County,South_Carolina,210898
Calhoun County,South_Carolina,14796
Charleston County,South_Carolina,396484
Cherokee County,South_Carolina,56646
Chester County,South_Carolina,32181
Chesterfield County,South_Carolina,46013
Clarendon County,South_Carolina,33951
Colleton County,South_Carolina,37923
Darlington County,South_Carolina,67234
Dillon County,South_Carolina,30858
Dorchester County,South_Carolina,153773
Edgefield County,South_Carolina,26358
Fairfield County,South_Carolina,22653
Florence County,South_Carolina,138742
Georgetown County,South_Carolina,61399
Greenville County,South_Carolina,498766
Greenwood County,South_Carolina,70133
Hampton County,South_Carolina,19922
Horry County,South_Carolina,322342
Jasper County,South_Carolina,28465
Kershaw County,South_Carolina,64097
Lancaster County,South_Carolina,89594
Laurens County,South_Carolina,66777
Lee County,South_Carolina,17635
Lexington County,South_Carolina,286196
Marion County,South_Carolina,31726
Marlboro County,South_Carolina,26945
McCormick County,South_Carolina,9643
Newberry County,South_Carolina,38079
Oconee County,South_Carolina,76355
Orangeburg County,South_Carolina,87903
Pickens County,South_Carolina,122863
Richland County,South_Carolina,409549
Saluda County,South_Carolina,20197
Spartanburg County,South_Carolina,301463
Sumter County,South_Carolina,107396
Union County,South_Carolina,27673
Williamsburg County,South_Carolina,31955
York County,South_Carolina,258526
Allen County,Kansas,13319
Anderson County,Kansas,7917
Atchison County,Kansas,16813
Barber County,Kansas,4861
Barton County,Kansas,27557
Bourbon County,Kansas,14897
Brown County,Kansas,9881
Butler County,Kansas,65827
Chase County,Kansas,2757
Chautauqua County,Kansas,3571
Cherokee County,Kansas,21226
Cheyenne County,Kansas,2678
Clark County,Kansas,2181
Clay County,Kansas,8531
Cloud County,Kansas,9397
Coffey County,Kansas,8502
Comanche County,Kansas,1913
Cowley County,Kansas,36288
Crawford County,Kansas,39361
Decatur County,Kansas,2871
Dickinson County,Kansas,19762
Doniphan County,Kansas,7864
Douglas County,Kansas,112864
Edwards County,Kansas,2979
Elk County,Kansas,2720
Ellis County,Kansas,29053
Ellsworth County,Kansas,6494
Finney County,Kansas,37200
Ford County,Kansas,34752
Franklin County,Kansas,25906
Geary County,Kansas,38013
Gove County,Kansas,2729
Graham County,Kansas,2578
Grant County,Kansas,7923
Gray County,Kansas,6030
Greeley County,Kansas,1298
Greenwood County,Kansas,6454
Hamilton County,Kansas,2639
Harper County,Kansas,5911
Harvey County,Kansas,34852
Haskell County,Kansas,4256
Hodgeman County,Kansas,1963
Jackson County,Kansas,13449
Jefferson County,Kansas,18945
Jewell County,Kansas,3046
Johnson County,Kansas,559913
Kearny County,Kansas,3968
Kingman County,Kansas,7863
Kiowa County,Kansas,2496
Labette County,Kansas,21284
Lane County,Kansas,1704
Leavenworth County,Kansas,77739
Lincoln County,Kansas,3174
Linn County,Kansas,9441
Logan County,Kansas,2784
Lyon County,Kansas,33748
Marion County,Kansas,12347
Marshall County,Kansas,10022
McPherson County,Kansas,29356
Meade County,Kansas,4396
Miami County,Kansas,32612
Mitchell County,Kansas,6355
Montgomery County,Kansas,34459
Morris County,Kansas,5854
Morton County,Kansas,3169
Nemaha County,Kansas,10132
Neosho County,Kansas,16406
Ness County,Kansas,3068
Norton County,Kansas,5612
Osage County,Kansas,16142
Osborne County,Kansas,3806
Ottawa County,Kansas,6072
Pawnee County,Kansas,6928
Phillips County,Kansas,5519
Pottawatomie County,Kansas,22302
Pratt County,Kansas,9728
Rawlins County,Kansas,2560
Reno County,Kansas,64438
Republic County,Kansas,4858
Rice County,Kansas,9985
Riley County,Kansas,75508
Rooks County,Kansas,5223
Rush County,Kansas,3220
Russell County,Kansas,6946
Saline County,Kansas,55988
Scott County,Kansas,4937
Sedgwick County,Kansas,503889
Seward County,Kansas,23547
Shawnee County,Kansas,178991
Sheridan County,Kansas,2538
Sherman County,Kansas,6113
Smith County,Kansas,3765
Stafford County,Kansas,4358
Stanton County,Kansas,2175
Stevens County,Kansas,5756
Sumner County,Kansas,23674
Thomas County,Kansas,7941
Trego County,Kansas,2986
Wabaunsee County,Kansas,7039
Wallace County,Kansas,1517
Washington County,Kansas,5758
Wichita County,Kansas,2256
Wilson County,Kansas,9105
Woodson County,Kansas,3278
Wyandotte County,Kansas,159129
Adair County,Missouri,25607
Andrew County,Missouri,17291
Atchison County,Missouri,5685
Audrain County,Missouri,25529
Barry County,Missouri,35597
Barton County,Missouri,12402
Bates County,Missouri,17049
Benton County,Missouri,19056
Bollinger County,Missouri,12363
Boone County,Missouri,162642
Buchanan County,Missouri,89201
Butler County,Missouri,42794
Caldwell County,Missouri,9424
Callaway County,Missouri,44332
Camden County,Missouri,44002
Cape Girardeau County,Missouri,75674
Carroll County,Missouri,9295
Carter County,Missouri,6265
Cass County,Missouri,99478
Cedar County,Missouri,13982
Chariton County,Missouri,7831
Christian County,Missouri,77422
Clark County,Missouri,7139
Clay County,Missouri,221939
Clinton County,Missouri,20743
Cole County,Missouri,75990
Cooper County,Missouri,17601
Crawford County,Missouri,24696
Dade County,Missouri,7883
Dallas County,Missouri,16777
Daviess County,Missouri,8433
DeKalb County,Missouri,12892
Dent County,Missouri,15657
Douglas County,Missouri,13684
Dunklin County,Missouri,31953
Franklin County,Missouri,101492
Gasconade County,Missouri,15222
Gentry County,Missouri,6738
Greene County,Missouri,275174
Grundy County,Missouri,10261
Harrison County,Missouri,8957
Henry County,Missouri,22272
Hickory County,Missouri,9627
Holt County,Missouri,4912
Howard County,Missouri,10144
Howell County,Missouri,40400
Iron County,Missouri,10630
Jackson County,Missouri,674158
Jasper County,Missouri,117404
Jefferson County,Missouri,218733
Johnson County,Missouri,52595
Knox County,Missouri,4131
Laclede County,Missouri,35571
Lafayette County,Missouri,33381
Lawrence County,Missouri,38634
Lewis County,Missouri,10211
Lincoln County,Missouri,52566
Linn County,Missouri,12761
Livingston County,Missouri,15195
Macon County,Missouri,15566
Madison County,Missouri,12226
Maries County,Missouri,9176
Marion County,Missouri,28781
McDonald County,Missouri,23083
Mercer County,Missouri,3785
Miller County,Missouri,24748
Mississippi County,Missouri,14358
Moniteau County,Missouri,15607
Monroe County,Missouri,8840
Montgomery County,Missouri,12236
Morgan County,Missouri,20565
